timestamp,price,market_cap,total_volume,date,coin
1770872542363,80.38709133319061,45654234585.564514,4514029604.215621,2026-02-12 05:02:22.363,solana
1770876194894,80.42645421441804,45657294335.75214,4468972803.460021,2026-02-12 06:03:14.894,solana
1770879753758,80.48742946863732,45739173094.51775,4316214912.415519,2026-02-12 07:02:33.758,solana
1770883393925,80.69823811279076,45825259707.829704,4250405792.569255,2026-02-12 08:03:13.925,solana
1770886827864,80.5609368885626,45723625672.24574,4216044078.619401,2026-02-12 09:00:27.864,solana
1770890569611,81.66439237135944,46314894232.285645,4391356731.337524,2026-02-12 10:02:49.611,solana
1770894150909,82.01544470760733,46488630260.177414,4397734713.498249,2026-02-12 11:02:30.909,solana
1770897797652,81.83928596496713,46461201997.52011,4311180381.127731,2026-02-12 12:03:17.652,solana
1770901404457,81.06403923272735,46030965794.748604,4382873684.196918,2026-02-12 13:03:24.457,solana
1770904978811,81.78102481979697,46312968291.870834,4328751093.8614025,2026-02-12 14:02:58.811,solana
1770908561963,81.29214781650546,46160742878.610054,4000676802.0552673,2026-02-12 15:02:41.963,solana
1770912145199,80.3155196293081,45694659524.87448,3793221631.2006993,2026-02-12 16:02:25.199,solana
1770915793331,78.45347400688149,44567050978.06289,3859017409.5938015,2026-02-12 17:03:13.331,solana
1770919339677,77.95097134300822,44300106781.68528,3873374999.455784,2026-02-12 18:02:19.677,solana
1770923004485,77.63363155274118,44110106744.204636,3803785520.2716265,2026-02-12 19:03:24.485,solana
1770926479541,77.6081498146553,44149463537.81222,3953323580.0642786,2026-02-12 20:01:19.541,solana
1770930096569,76.81074651542316,43613842269.80272,3906083522.6521177,2026-02-12 21:01:36.569,solana
1770933775108,77.31781269408803,43903900693.508766,3803629553.5413227,2026-02-12 22:02:55.108,solana
1770937301335,77.83439424725547,44150850520.88321,3924238829.470308,2026-02-12 23:01:41.335,solana
1770940968660,78.28829432271178,44449474908.37649,3834640225.2758503,2026-02-13 00:02:48.660,solana
1770944586073,77.8654812487099,44196748421.11076,3940013930.74336,2026-02-13 01:03:06.073,solana
1770948183021,78.5245325864963,44583296629.93758,3935974042.817906,2026-02-13 02:03:03.021,solana
1770951628498,79.06860796763068,44878381845.854706,3961534915.306091,2026-02-13 03:00:28.498,solana
1770955461029,78.92237418015027,44831982599.5766,3888555020.7795997,2026-02-13 04:04:21.029,solana
1770959002204,78.54343868130984,44601354834.24113,3983380233.687382,2026-02-13 05:03:22.204,solana
1770962505371,78.42282576103526,44578987082.5194,3932813115.096789,2026-02-13 06:01:45.371,solana
1770966049561,78.15144685881079,44311763701.93605,3935508768.8371487,2026-02-13 07:00:49.561,solana
1770969795185,78.88270620894336,44743300918.652115,3983561883.196179,2026-02-13 08:03:15.185,solana
1770973443196,79.62251304243328,45217713795.857216,3934195407.5389795,2026-02-13 09:04:03.196,solana
1770976954240,79.76948383962913,45294784968.87313,3893969419.4840946,2026-02-13 10:02:34.240,solana
1770980555238,80.36458423941309,45663042569.02174,3944118718.9973516,2026-02-13 11:02:35.238,solana
1770984085417,80.19934140053678,45538770100.997765,3922897790.96732,2026-02-13 12:01:25.417,solana
1770987678209,80.00433128628329,45438545481.13412,3870640249.971623,2026-02-13 13:01:18.209,solana
1770991331346,80.2979415883036,45577740074.73399,3885384307.285553,2026-02-13 14:02:11.346,solana
1770994933514,81.34549544607776,46296768393.64693,4106019591.7240644,2026-02-13 15:02:13.514,solana
1770998525020,83.06582736454217,47158630578.45213,4338250109.538918,2026-02-13 16:02:05.020,solana
1771002001837,84.38166880207166,47919878241.1782,4226926279.9192023,2026-02-13 17:00:01.837,solana
1771005627470,84.35299473969377,47893179638.691216,4122653792.5394454,2026-02-13 18:00:27.470,solana
1771009310559,85.37814447275258,48486308253.32312,4214110700.4243193,2026-02-13 19:01:50.559,solana
1771012979742,84.7115695479786,48140703057.22855,4087332222.705762,2026-02-13 20:02:59.742,solana
1771016611633,84.7518838540852,48168097972.5731,4035499091.184538,2026-02-13 21:03:31.633,solana
1771020218043,84.67110560540972,48076036494.88574,4090353410.3547044,2026-02-13 22:03:38.043,solana
